Billboard Artist,map_artist,Feature Artist
213,213,
12 Gauge,12 Gauge,
2 Bigg M.C.,2 Bigg M.C.,
2 Black 2 Strong MMG,2 Black 2 Strong MMG,
2 Chainz,2 Chainz,
2 Chainz & Wiz Khalifa,2 Chainz,Wiz Khalifa
2 Chainz x Gucci Mane x Quavo,2 Chainz,"Gucci Mane,Quavo"
2 Kings In A Cipher,2 Kings In A Cipher,
2 Pistols,2 Pistols,
21 Savage,21 Savage,
21 Savage & Metro Boomin,21 Savage,
"21 Savage, Offset & Metro Boomin",21 Savage,Offset
2nd II None,2nd II None,
2Pac,2Pac,
2Pac Duet With Mopreme,2Pac,Mopreme
"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",2Pac,"Notorious B.I.G.,Radio,Dramacydal,Stretch"
3rd Bass,3rd Bass,
3X Krazy,3X Krazy,
40K Crew,40K Crew,
4th Avenue Jones',4th Avenue Jones,
50 Cent,50 Cent,
50 Cent & Olivia,50 Cent,Olivia
504 Boyz,504 Boyz,
5CENT,5CENT,
6 Tre G,6 Tre G,
69 Boyz,69 Boyz,
6ix9ine,6ix9ine,
6LACK,6LACK,
7L & Esoteric,7L & Esoteric,
812 Souljaz,812 Souljaz,
8Ball & MJG,8Ball & MJG,
95 South,95 South,
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,
A Tribe Called Quest,A Tribe Called Quest,
A.D.O.R.,A.D.O.R.,
A+,A+,
A$AP Ferg,A$AP Ferg,
A$AP Rocky,A$AP Rocky,
"A$AP Rocky F/Kendrick Lamar, Joey Bada$$, YelaWolf, Danny Brown, Action Bronson & Big K.R.",A$AP Rocky,"Kendrick Lamar,Joey Bada$$,YelaWolf,Danny Brown,Action Bronson,Big K.R.I.T."
Above The Law,Above The Law,
Ace Hood,Ace Hood,
Action Bronson,Action Bronson,
Afroman,Afroman,
Afu-Ra,Afu-Ra,
Akinyele,Akinyele,
Al Tariq (Kool Fash),Al Tariq (Kool Fash),
All City,All City,
Alley Life,Alley Life,
AMG,AMG,
Amine,Amine,
Ampichino,Ampichino,
Angie Martinez,Angie Martinez,
Antoinette,Antoinette,
Apache,Apache,
Arabian Prince,Arabian Prince,
Arrested Development,Arrested Development,
Artifacts,Artifacts,
Asher Roth,Asher Roth,
Audio Two,Audio Two,
Awesome Dre & The Hard Core Committee,Awesome Dre & The Hard Core Committee,
Ayatollah,Ayatollah,
Ayo & Teo,Ayo & Teo,
AZ,AZ,
B Da Outta Sight Child,B Da Outta Sight Child,
B-Rock & The Bizz,B-Rock & The Bizz,
B.G.,B.G.,
B.L.H.U.N.T.,B.L.H.U.N.T.,
B.o.B,B.o.B,
Baby,Baby,
Baby Bash,Baby Bash,
Baby Boy Da Prince,Baby Boy Da Prince,
Baby DC,Baby DC,
Baby S,Baby S,
Bad Azz,Bad Azz,
Bad Boy's Da Band,Bad Boy's Da Band,
Bad Meets Evil,Bad Meets Evil,
Bahamadia,Bahamadia,
Bandit Gang Marco,Bandit Gang Marco,
BDP,BDP,
Beanie Sigel,Beanie Sigel,
Bear Witnez!,Bear Witnez!,
Beastie Boys,Beastie Boys,
Becky G,Becky G,
Beelow,Beelow,
Beenie Man,Beenie Man,
Belly,Belly,
Benzino,Benzino,
Bhad Bhabie,Bhad Bhabie,
Big Daddy Kane,Big Daddy Kane,
Big Gank,Big Gank,
Big Geminii,Big Geminii,
Big L,Big L,
Big Lew BKA Popeye Reds,Big Lew BKA Popeye Reds,
Big Logic,Big Logic,
Big Pope,Big Pope,
Big Punisher,Big Punisher,
Big Sean,Big Sean,
Big Tymers,Big Tymers,
Bigga Figgaz,Bigga Figgaz,
Birdman,Birdman,
Birdman & Lil Wayne,Birdman,Lil Wayne
Bishop Briggs,Bishop Briggs,
Biz Markie,Biz Markie,
Blac Haze,Blac Haze,
Black Dave,Black Dave,
Black Maddness,Black Maddness,
Black Miss,Black Miss,
Black Moon,Black Moon,
Black Rob,Black Rob,
Black Rock 'N' Ron,Black Rock 'N' Ron,
Black Sheep,Black Sheep,
Blahzay Blahzay,Blahzay Blahzay,
Bobby Brackins,Bobby Brackins,
Bobby Jimmy & The Critters,Bobby Jimmy & The Critters,
Bobby Shmurda,Bobby Shmurda,
Bobcat,Bobcat,
Body & Soul,Body & Soul,
Body Head Bangerz,Body Head Bangerz,
Bone,Bone,
Bone Crusher,Bone Crusher,
Bone Thugs-N-Harmony,Bone Thugs-N-Harmony,
Boobakaw And Tha Wild Younginz,Boobakaw And Tha Wild Younginz,
Boogie Down Productions,Boogie Down Productions,
Born Jamericans,Born Jamericans,
Boss,Boss,
Bounty Killa,Bounty Killa,
Bounty Killer,Bounty Killer,
Bow Wow,Bow Wow,
Bow Wow & Omarion,Bow Wow,Omarion
Boyz N Da Hood,Boyz N Da Hood,
Brand Nubian,Brand Nubian,
Breeze,Breeze,
Brotherhood Creed,Brotherhood Creed,
Brothers Uv Da Blakmarket,Brothers Uv Da Blakmarket,
Brown Boy,Brown Boy,
Bubba Sparxxx,Bubba Sparxxx,
Buck 22,Buck 22,
Buddha Monk,Buddha Monk,
Bumpy Knuckles,Bumpy Knuckles,
Bun-B,Bun-B,
Bushwick Bill,Bushwick Bill,
Busta Rhymes,Busta Rhymes,
Busta Rhymes & Mariah Carey,Busta Rhymes,Mariah Carey
BWP,BWP,
C-Side,C-Side,
C. Webb,C. Webb,
C.E.B.,C.E.B.,
C.P.O.,C.P.O.,
Ca$h Out,Ca$h Out,
Cadillac Don & J-Money,Cadillac Don & J-Money,
Cage,Cage,
Cali Swag District,Cali Swag District,
Calvin Harris,Calvin Harris,
Cam'Ron,Cam'Ron,
Cam'ron,Cam'Ron,
Camara,Camara,
Camp Lo,Camp Lo,
Candyman,Candyman,
Canibus,Canibus,
Capleton,Capleton,
Capone -N- Noreaga,Capone-N-Noreaga,
Caponiac,Caponiac,
Cardan (,Cardan,
Cardi B,Cardi B,
Cash & Computa,Cash & Computa,
Cash Money & Marvelous,Cash Money & Marvelous,
Cash Money Millionaires,Cash Money Millionaires,
Cassidy,Cassidy,
Casual,Casual,
Cee-Lo,Cee-Lo,
Chaka Demus & Pliers,Chaka Demus & Pliers,
Chalie Boy,Chalie Boy,
Cham,Cham,
Chamillionaire,Chamillionaire,
Champtown Introducing D'Phuzion,Champtown Introducing D'Phuzion,
Chance The Rapper,Chance The Rapper,
Channel Live,Channel Live,
Charli Baltimore,Charli Baltimore,
Cheba,Cheba,
Chedda Da Connect,Chedda Da Connect,
Chi-Ali,Chi-Ali,
Chief Keef,Chief Keef,
Childish Gambino,Childish Gambino,
Chilldrin Of Da Ghetto,Chilldrin Of Da Ghetto,
Chingy,Chingy,
Chino Nino,Chino Nino,
Chocolate Bandit,Chocolate Bandit,
Chris Brown,Chris Brown,
Chris Brown & Tyga,Chris Brown,Tyga
Chubb Rock,Chubb Rock,
Chubb Rock With Howie Tee,Chubb Rock,Howie Tee
Chuck Smooth,Chuck Smooth,
City High,City High,
Clipse,Clipse,
Clyde Carson,Clyde Carson,
Cocoa Brovaz,Cocoa Brovaz,
Collie Buddz,Collie Buddz,
Colonel Loud,Colonel Loud,
Common,Common,
Common & John Legend,Common,John Legend
Common Sense,Common Sense,
Compton's Most Wanted,Compton's Most Wanted,
Coo Coo Cal,Coo Coo Cal,
Cool Breeze,Cool Breeze,
Cool C,Cool C,
Coolio,Coolio,
Cosmic Slop Shop,Cosmic Slop Shop,
Craig Mack,Craig Mack,
Craig-G,Craig-G,
Crime Mob,Crime Mob,
Crimewave,Crimewave,
Criminal Nation,Criminal Nation,
CRU,CRU,
Crucial Conflict,Crucial Conflict,
Cuban Link,Cuban Link,
Curren$Y,Curren$Y,
Cypress Hill,Cypress Hill,
D-Don,D-Don,
D-Nice,D-Nice,
D.J. Chuck Chillout And Kool Chip,D.J. Chuck Chillout,Kool Chip
D.J. Jazzy Jeff & The Fresh Prince,D.J. Jazzy Jeff & The Fresh Prince,
D.J. Trans,D.J. Trans,
D.R.A.M.,D.R.A.M.,
D'Meka,D'Meka,
D&D Allstars,D&D Allstars,
D12,D12,
D4L,D4L,
Da Beatminerz,Da Beatminerz,
Da Brat,Da Brat,
Da Fat Cat Clique,Da Fat Cat Clique,
Da King & I,Da King & I,
Da Lench Mob,Da Lench Mob,
Da Youngsta's,Da Youngsta's,
Daddy Yankee,Daddy Yankee,
Daddy-O,Daddy-O,
Dae Dae,Dae Dae,
"Damian ""Jr. Gong"" Marley","Damian ""Jr. Gong"" Marley",
Damizza Presents Shade Sheist,Damizza Presents Shade Sheist,
Dana Dane,Dana Dane,
"Danny ""D"" & D.J. ""Wiz""","Danny ""D"" & D.J. ""Wiz""",
Darkside Ballaz,Darkside Ballaz,
Darq Age,Darq Age,
Das EFX,Das EFX,
Das EFX (,Das EFX,
David Banner,David Banner,
David Bowie With Queen Latifah,David Bowie,Queen Latifah
De La Soul,De La Soul,
Def Dames,Def Dames,
Def Jef,Def Jef,
Definition Of Sound,Definition Of Sound,
DeJ Loaf,DeJ Loaf,
Del The Funky Homosapien,Del The Funky Homosapien,
Delinquent Habits,Delinquent Habits,
Dem Franchize Boyz,Dem Franchize Boyz,
Dena Cali,Dena Cali,
Dennis Da Menace,Dennis Da Menace,
Desiigner,Desiigner,
"Devyne Stephens ""The Entertainer""","Devyne Stephens ""The Entertainer""",
DFC,DFC,
DFC (Duet With MC Eiht),DFC,MC Eiht
Diamond & Psychotic Neurotics,Diamond & Psychotic Neurotics,
Diddy,Diddy,
Diddy - Dirty Money,Diddy - Dirty Money,
Digable Planets,Digable Planets,
Diggy,Diggy,
Digital Underground,Digital Underground,
Dilated Peoples,Dilated Peoples,
Dis `N' Dat,Dis `N' Dat,
Divine Styler,Divine Styler,
DJ Class,DJ Class,
DJ Clue,DJ Clue,
DJ Design,DJ Design,
DJ Drama,DJ Drama,
DJ ESCO,DJ ESCO,
DJ Felli Fel,DJ Felli Fel,
DJ Honda,DJ Honda,
DJ Hurricane,DJ Hurricane,
"DJ Hurricane With Xzibit, Big Gipp and Pharoahe Monch",DJ Hurricane,"Xzibit,Big Gipp,Pharoahe Monch"
DJ Khaled,DJ Khaled,
DJ Khaled & Calvin Harris,DJ Khaled,Calvin Harris
DJ Kool,DJ Kool,
DJ Luke Nasty,DJ Luke Nasty,
DJ Quik,DJ Quik,
DJ S&S,DJ S&S,
DJ Smurf,DJ Smurf,
DJ Smurf And P.M.H.I.,DJ Smurf And P.M.H.I.,
DJ Snake & Lil Jon,DJ Snake,Lil Jon
DJ Taz,DJ Taz,
DLOW,DLOW,
DMX,DMX,
"DMX, Method Man, NAS, Ja Rule",DMX,"Method Man,Nas,Ja Rule"
Do Or Die,Do Or Die,
Do Or Die (,Do Or Die,
Doc Box & B. Fresh,Doc Box & B. Fresh,
Doctor Dre & Ed Lover,Dr. Dre,Ed Lover
Dolla,Dolla,
Domino,Domino,
Donald-D,Donald-D,
Dorrough,Dorrough,
Double XX,Double XX,
Doug E. Fresh,Doug E. Fresh,
Doug E. Fresh & The Get Fresh Crew,Doug E. Fresh,
Down A.K.A. Kilo,Down A.K.A. Kilo,
Dr. Dre,Dr. Dre,
Dr. Dre Introducing Snoop Doggy Dogg,Dr. Dre,Snoop Dogg
Drag-On & Juvenile,Drag-On,Juvenile
Drake,Drake,
Drake & Future,Drake,Future
Drama,Drama,
Dred Scott,Dred Scott,
Dres,Dres,
Driicky Graham,Driicky Graham,
Drop City Yacht Club,Drop City Yacht Club,
Dru Down,Dru Down,
Drunken Master,Drunken Master,
E-40,E-40,
E-40 (,E-40,
"E-40 With YG, iAMSU! & Problem",E-40,"YG,iAMSU!,Problem"
E-A-Ski,E-A-Ski,
E.U.,E.U.,
Eazy-E,Eazy-E,
ED O.G & DA Bulldogs,ED O.G,DA Bulldogs
EL-P,EL-P,
Elephant Man,Elephant Man,
Eminem,Eminem,
"Eminem, 50 Cent & Busta Rhymes",Eminem,"50 Cent,Busta Rhymes"
"Eminem, Dr. Dre & 50 Cent",Eminem,"Dr. Dre,50 Cent"
Empty Mynd,Empty Mynd,
EPMD,EPMD,
Eric B. & Rakim,Eric B. & Rakim,
Erick Sermon,Erick Sermon,
Eve,Eve,
Eve & Jadakiss,Eve,Jadakiss
F.L.Y. (Fast Life Yungstaz),F.L.Y. (Fast Life Yungstaz),
F.S. Effect,F.S. Effect,
Fabolous,Fabolous,
